orig_symbol	logFC	logCPM	F	PValue	FDR
Cidea	-14.30587871170896	9.399331193756312	25130.365111117124	0	0
Mpeg1	-14.305874609476392	9.40321178046681	25330.600905489664	0	0
Styxl1	-14.305816906957585	9.399449101636112	25137.10860313713	0	0
Btbd6	-14.305800248211092	9.399785701214997	25153.61239334682	0	0
1700001O22Rik	-14.305754926071518	9.400656714114394	25199.193805281076	0	0
Gm10778	-14.305726256852347	9.398936141379078	25109.092823540654	0	0
Sgcg	-14.305644456429478	9.398686298046547	25095.716721335033	0	0
Pwwp2b	-14.305635398910495	9.398563350414998	25087.42287265442	0	0
Gm12059	-14.305464823704273	9.400259296837934	25178.512845491725	0	0
Dennd1c	-14.305386390189508	9.40060690373875	25194.41988668392	0	0
Milr1	-14.305226855328147	9.400280156920422	25178.716211825853	0	0
Zfp982	-14.305152161005413	9.400011509506795	25164.401091026357	0	0
Gm17396	-14.304952195869975	9.399131877052383	25118.025336567553	0	0
Gm20501	-14.30486226895917	9.399635059909238	25145.863524095676	0	0
Gm43445	-14.30473615884765	9.398674228437956	25092.980417230876	0	0
Pik3cg	-14.304723682056858	9.400966259415926	25210.289246750024	0	0
Cldn14	-14.304631041603827	9.397938474729878	25050.791653197994	0	0
Pbld2	-14.304489822178748	9.398347958188753	25075.379796830624	0	0
Crtap	-14.304406065457117	9.401959591210204	25261.398818613732	0	0
Nanp	-14.30410269624055	9.399486501495385	25133.6317750198	0	0
Nhp2	-14.304089752584039	9.400248460501146	25174.587983939065	0	0
Selenbp2	-14.30407444883548	9.399792463094096	25153.322930125927	0	0
Tfpi	-14.304000166254717	9.399983622836341	25159.677644124018	0	0
Slc16a13	-14.303933337470335	9.399036942191401	25110.455386943202	0	0
Trp73	-14.303917468613749	9.397874921568048	25048.58990214192	0	0
Stag3	-14.303903929714268	9.398666365536961	25090.69953289066	0	0
Palb2	-14.303828673994817	9.400955252742644	25212.135220495886	0	0
2810002D19Rik	-14.303719021207016	9.399662716039034	25142.45281330748	0	0
Ints5	-14.30347457891614	9.39950704879863	25133.681475104455	0	0
Mccc1os	-14.303473638195424	9.398067331185286	25057.419711787876	0	0
Spag17	-14.303371682575133	9.399403293546573	25129.112834467414	0	0
Slc27a3	-14.30334219779651	9.399966401645925	25158.302183326232	0	0
Ahnak2	-14.303293051910215	9.398149122873901	25059.92363214806	0	0
Tmem203	-14.303114080255542	9.3992219567768025	25117.391426572354	0	0
Myocd	-14.30306781340233	9.398828102937877	25096.624405011284	0	0
Hr	-14.303062678590127	9.401944240808717	25259.494312270042	0	0
Mamdc2	-14.303002725904902	9.398491583372364	25079.445667073905	0	0
Rgs4	-14.302999579911857	9.399452452152989	25130.655051405778	0	0
Fkbp9	-14.302963886429719	9.399792431678222	25144.6763610875	0	0
Mcam	-14.302946752473874	9.400368573168658	25178.853678740878	0	0
Prm1	-14.302804917749969	9.399314319963935	25123.613394507225	0	0
Gm46555	-14.302771733661567	9.40075547850726	25197.34570796813	0	0
Sephs2	-14.30271313380043	9.399224737772332	25117.577062687556	0	0
Mfsd2a	-14.302646304046117	9.401140926781059	25216.18080824851	0	0
Gm16235	-14.302581438994466	9.400003679776743	25159.478836342394	0	0
Hyal1	-14.302453938427124	9.399609109358352	25137.50477907873	0	0
Tgif2	-14.302032391536207	9.400727371749802	25195.324442555095	0	0
Plcd1	-14.301988796054896	9.401773754779626	25248.254830495564	0	0
Zbtb33	-14.301918673092738	9.400445236532118	25182.01414262788	0	0
Casc1	-14.301843357256207	9.397851173562186	25043.000439534488	0	0
Atp13a5	-14.301783482255706	9.399229635426943	25115.648910578344	0	0
C130080G10Rik	-14.301771643159535	9.400073779262883	25162.766344413474	0	0
AC103362.1	-14.301493987106424	9.401242499133422	25222.317892608935	0	0
Tmem159	-14.301363765209056	9.40018655113015	25163.461727074482	0	0
Etfbkmt	-14.300918350331537	9.400404901800199	25174.912052102256	0	0
Pdlim1	-14.300916162634858	9.398275207387488	25060.072657203607	0	0
Prdm16	-14.300631331610356	9.399710711494636	25141.39430971055	0	0
Poglut3	-14.300535963967778	9.400198224897336	25165.01277234575	0	0
Pnpla2	-14.30051415608456	9.400722473708047	25191.97144253555	0	0
Ushbp1	-14.300494434082319	9.398825861905223	25092.3753643111	0	0
Gm11872	-14.300413107216814	9.399855252396875	25147.96804356042	0	0
Ppp1r18os	-14.300282491424515	9.40061305409219	25184.258700966817	0	0
Gm3264	-14.300246911210351	9.400032969231376	25155.206175239327	0	0
Zfp970	-14.300232019601697	9.399528798326358	25128.403362515994	0	0
Tll2	-14.30016100952897	9.400719123763201	25191.105827802523	0	0
Gm29650	-14.299988415684169	9.398928365619604	25096.282266745096	0	0
Nod1	-14.299897230853778	9.398755764819184	25088.97521024531	0	0
Gm6525	-14.299832788453791	9.398973803636501	25098.36760546471	0	0
Gm28578	-14.299818199199624	9.400139846169814	25159.956764648407	0	0
Gm44941	-14.29970715036238	9.400126502670869	25159.16587817993	0	0
Gm13833	-14.29937856957186	9.399617266580885	25132.989046416787	0	0
Cd52	-14.299197159375444	9.400157273104332	25158.86035933133	0	0
Tfap2e	-14.29915374922534	9.400898441083744	25198.9273721211	0	0
Acaa2	-14.298984380181768	9.400603811702515	25184.97937547118	0	0
Plin2	-14.298974458035984	9.40063052769051	25181.39823283639	0	0
Slc18a1	-14.298908728601024	9.39795233444308	25043.27665700383	0	0
3110083C13Rik	-14.298814275453003	9.398377250141179	25063.85241664264	0	0
Gpr83	-14.298759757012517	9.399620637900245	25130.634663951547	0	0
Htr1d	-14.29858509481457	9.400186110314868	25159.305282239267	0	0
Gm43599	-14.29843809605454	9.402406600354487	25274.627141993493	0	0
Gm33206	-14.298307208714123	9.400457080554565	25172.606806400014	0	0
Lrriq3	-14.298126852285714	9.399141718804888	25104.398176702754	0	0
Pik3r5	-14.298079842857844	9.400780097402631	25187.77726712481	0	0
Gm46633	-14.297808470198172	9.398437385000381	25067.59896808329	0	0
Ctsk	-14.297802262459971	9.399845511245323	25140.72424703373	0	0
Fastkd3	-14.297675476964173	9.400376920441953	25168.330939504984	0	0
9330104G04Rik	-14.297606286699235	9.40015086554121	25155.971815837154	0	0
Hes6	-14.297347035234337	9.400938672347277	25196.465733900804	0	0
Plscr5	-14.297156610490653	9.397094728175443	24991.864579879926	0	0
Nqo1	-14.297095044387914	9.400047457238234	25150.006972489336	0	0
Olfr539	-14.296956782950874	9.400446586051237	25171.72520638265	0	0
Cfap97d2	-14.296847435054202	9.401963819901992	25247.21060474369	0	0
4930500H12Rik	-14.296656231357966	9.39876865505594	25080.968325485443	0	0
Zfp850	-14.2964802953524	9.400396128688453	25168.95850968052	0	0
Ccdc151	-14.296454918532813	9.399616756301285	25126.73483115151	0	0
Gm34280	-14.29621724858576	9.401607224166778	25224.99131190429	0	0
Cpxm1	-14.295902092913614	9.401451550205822	25220.433026969076	0	0
Gm14167	-14.295891986438438	9.399891066500826	25138.188851689054	0	0
Gm5767	-14.295820198584865	9.40237991770695	25266.300344689083	0	0
Spef1	-14.29581678157883	9.400447582831294	25168.157757310866	0	0
Gm45605	-14.295576002169618	9.400272041865554	25157.98208778739	0	0
Gprin1	-14.295548491510784	9.40078727043966	25185.639819869066	0	0
Nfkbid	-14.29546588444315	9.399416376803476	25111.908567146646	0	0
Gins1	-14.295167322345403	9.400599470592727	25174.83991972082	0	0
Gm10076	-14.294698458841879	9.39997517884834	25138.816240819942	0	0
Gm13261	-14.294511337093967	9.399989731357772	25140.274425163	0	0
Mfsd2b	-14.294451837001558	9.400823102904676	25184.12158362045	0	0
Ddx43	-14.294441595267942	9.401270875141556	25204.004320149234	0	0
